Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Moldova,MDA,..,..,..,..,..,..,..,..,..,..,5.7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,2.9,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Mongolia,MNG,..,..,..,..,..,..,..,..,..,..,4.7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,9,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Morocco,MAR,..,..,..,..,..,..,..,..,..,..,7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,3.3,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,3.9,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,4.5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,12,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Nepal,NPL,..,..,..,..,..,..,..,..,..,..,7.2,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Netherlands,NLD,..,..,..,..,..,..,..,..,..,..,5.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,21.8,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,6.2,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Nicaragua,NIC,..,..,..,..,..,..,..,..,..,..,11.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Niger,NER,..,..,..,..,..,..,..,..,..,..,2.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,3.1,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,North Macedonia,MKD,..,..,..,..,..,..,..,..,..,..,9.3,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Norway,NOR,..,..,..,..,..,..,..,..,..,..,5.3,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Oman,OMN,..,..,..,..,..,..,..,..,..,..,10.1,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Pakistan,PAK,..,..,..,..,..,..,..,..,..,..,19.9,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,17.9,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Panama,PAN,..,..,..,..,..,..,..,..,..,..,7.7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,..,..,17.9,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Paraguay,PRY,..,..,..,..,..,..,..,..,..,..,9.6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Peru,PER,..,..,..,..,..,..,..,..,..,..,6.6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,7.1,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Poland,POL,..,..,..,..,..,..,..,..,..,..,6.1,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Portugal,PRT,..,..,..,..,..,..,..,..,..,..,9.8,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,13.7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,15.6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Romania,ROU,..,..,..,..,..,..,..,..,..,..,6.9,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,6.1,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Rwanda,RWA,..,..,..,..,..,..,..,..,..,..,5.1,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,9.2,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,5.9,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,2.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,15.8,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Senegal,SEN,..,..,..,..,..,..,..,..,..,..,2.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,9,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,12.3,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Sierra Leone,SLE,..,..,..,..,..,..,..,..,..,..,2.4,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,5.5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,6.8,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,6.5,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Slovenia,SVN,..,..,..,..,..,..,..,..,..,..,5.9,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,19,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,5.1,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,South Africa,ZAF,..,..,..,..,..,..,..,..,..,..,12.7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,10.2,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Spain,ESP,..,..,..,..,..,..,..,..,..,..,6.9,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Sri Lanka,LKA,..,..,..,..,..,..,..,..,..,..,10.7,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,13.3,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,11.6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,11.6,..
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,Sudan,SDN,..,..,..,..,..,..,..,..,..,..,22.1,..
