Temperature - (Celsius), Year, Statistics, Country, ISO3
11.7, 2009, Jun Average, Russia, RUS
14.8, 2009, Jul Average, Russia, RUS
12.4, 2009, Aug Average, Russia, RUS
7.0, 2009, Sep Average, Russia, RUS
-3.2, 2009, Oct Average, Russia, RUS
-17.8, 2009, Nov Average, Russia, RUS
-26.3, 2009, Dec Average, Russia, RUS
-28.0, 2010, Jan Average, Russia, RUS
-26.7, 2010, Feb Average, Russia, RUS
-16.9, 2010, Mar Average, Russia, RUS
-5.9, 2010, Apr Average, Russia, RUS
5.2, 2010, May Average, Russia, RUS
12.2, 2010, Jun Average, Russia, RUS
15.8, 2010, Jul Average, Russia, RUS
12.9, 2010, Aug Average, Russia, RUS
5.8, 2010, Sep Average, Russia, RUS
-3.6, 2010, Oct Average, Russia, RUS
-14.1, 2010, Nov Average, Russia, RUS
-25.4, 2010, Dec Average, Russia, RUS
-25.3, 2011, Jan Average, Russia, RUS
-25.2, 2011, Feb Average, Russia, RUS
-12.7, 2011, Mar Average, Russia, RUS
-3.0, 2011, Apr Average, Russia, RUS
4.7, 2011, May Average, Russia, RUS
12.8, 2011, Jun Average, Russia, RUS
15.7, 2011, Jul Average, Russia, RUS
12.6, 2011, Aug Average, Russia, RUS
6.2, 2011, Sep Average, Russia, RUS
-2.2, 2011, Oct Average, Russia, RUS
-16.6, 2011, Nov Average, Russia, RUS
-21.4, 2011, Dec Average, Russia, RUS
-25.4, 2012, Jan Average, Russia, RUS
-24.0, 2012, Feb Average, Russia, RUS
-17.0, 2012, Mar Average, Russia, RUS
-4.1, 2012, Apr Average, Russia, RUS
5.2, 2012, May Average, Russia, RUS
13.3, 2012, Jun Average, Russia, RUS
16.1, 2012, Jul Average, Russia, RUS
12.3, 2012, Aug Average, Russia, RUS
7.0, 2012, Sep Average, Russia, RUS
-3.5, 2012, Oct Average, Russia, RUS
-15.4, 2012, Nov Average, Russia, RUS
-25.7, 2012, Dec Average, Russia, RUS
-27.0, 2013, Jan Average, Russia, RUS
-24.1, 2013, Feb Average, Russia, RUS
-18.4, 2013, Mar Average, Russia, RUS
-4.3, 2013, Apr Average, Russia, RUS
5.0, 2013, May Average, Russia, RUS
12.4, 2013, Jun Average, Russia, RUS
15.5, 2013, Jul Average, Russia, RUS
13.0, 2013, Aug Average, Russia, RUS
5.3, 2013, Sep Average, Russia, RUS
-4.4, 2013, Oct Average, Russia, RUS
-12.7, 2013, Nov Average, Russia, RUS
-19.2, 2013, Dec Average, Russia, RUS
-27.5, 2014, Jan Average, Russia, RUS
-23.9, 2014, Feb Average, Russia, RUS
-12.1, 2014, Mar Average, Russia, RUS
-3.1, 2014, Apr Average, Russia, RUS
4.7, 2014, May Average, Russia, RUS
11.9, 2014, Jun Average, Russia, RUS
14.9, 2014, Jul Average, Russia, RUS
13.4, 2014, Aug Average, Russia, RUS
5.7, 2014, Sep Average, Russia, RUS
-5.0, 2014, Oct Average, Russia, RUS
-16.4, 2014, Nov Average, Russia, RUS
-21.6, 2014, Dec Average, Russia, RUS
-23.9, 2015, Jan Average, Russia, RUS
-20.0, 2015, Feb Average, Russia, RUS
-13.2, 2015, Mar Average, Russia, RUS
-4.7, 2015, Apr Average, Russia, RUS
4.6, 2015, May Average, Russia, RUS
12.8, 2015, Jun Average, Russia, RUS
15.1, 2015, Jul Average, Russia, RUS
12.5, 2015, Aug Average, Russia, RUS
6.5, 2015, Sep Average, Russia, RUS
-4.2, 2015, Oct Average, Russia, RUS
-16.2, 2015, Nov Average, Russia, RUS
-20.4, 2015, Dec Average, Russia, RUS
-24.5, 2016, Jan Average, Russia, RUS
-19.6, 2016, Feb Average, Russia, RUS
-13.0, 2016, Mar Average, Russia, RUS
-3.2, 2016, Apr Average, Russia, RUS
4.3, 2016, May Average, Russia, RUS
12.9, 2016, Jun Average, Russia, RUS
16.0, 2016, Jul Average, Russia, RUS
13.5, 2016, Aug Average, Russia, RUS
7.5, 2016, Sep Average, Russia, RUS
-4.6, 2016, Oct Average, Russia, RUS
-17.9, 2016, Nov Average, Russia, RUS
-23.9, 2016, Dec Average, Russia, RUS
-24.3, 2017, Jan Average, Russia, RUS
-21.1, 2017, Feb Average, Russia, RUS
-10.2, 2017, Mar Average, Russia, RUS
-4.0, 2017, Apr Average, Russia, RUS
2.8, 2017, May Average, Russia, RUS
12.0, 2017, Jun Average, Russia, RUS
15.0, 2017, Jul Average, Russia, RUS
13.3, 2017, Aug Average, Russia, RUS
5.8, 2017, Sep Average, Russia, RUS
-4.1, 2017, Oct Average, Russia, RUS
-15.1, 2017, Nov Average, Russia, RUS
-20.9, 2017, Dec Average, Russia, RUS
-24.2, 2018, Jan Average, Russia, RUS
-22.3, 2018, Feb Average, Russia, RUS
-17.1, 2018, Mar Average, Russia, RUS
-4.5, 2018, Apr Average, Russia, RUS
3.4, 2018, May Average, Russia, RUS
12.7, 2018, Jun Average, Russia, RUS
