country,1966,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Honduras,,,,,,,,,,,,,,,,,,,,,,62.6,64.9,58,52.7,46.3,47,49.3,51.6,40.8,42.6,43.9,,35.9,40.8,45.6,44.6,42,37.3,32.6,30.9,27.8,29.9,32.3,36.8,33.5,32.9,32.9,33.3,32.1,30.6
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,2.3,1.9,2.2,2,1.8,1.3,1.3,1.1,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1.2,0.3,0.3,0.2,0.1,0.3,0.3,0.6,0.8,1,1.1,1.8,1.2,
Indonesia,,,,,,,,,,,,,,,,,90.6,,,91.6,,,85.4,,,84.9,,,77.6,,88.8,77.6,77.2,74.6,61.3,59.8,59.8,57.3,62.4,55.2,53.9,51.1,45,41.9,40.3,37.6,34.8,30.5,28.6,24.6,21.5
India,,,,,,,,,,88.7,,,,,,86.2,,,,83.6,,,,,,81.9,,,,,,,,,,,76.2,,,,,71,,61.7,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,0.5,0.5,0.2,,,,0.2,,,0.2,0.1,0.1,0.5,0.1,0.3,0.6,0.8,0.7,0.5,0.8,0.5,0.4,0.4,,
Iran,,,,,,,,,,,,,,,,,,,22.5,,,,20.9,,,,17.2,,,,15.2,,,,,,,3.9,4.1,,,4.5,,,,1.6,3,3,3,2.7,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,,,,,14.8,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,0.1,0.3,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0,0,,,
Israel,,,,,,,,,,,,0.8,,,,,,,0.7,,,,,,0.2,,,,,0.7,,,,0.5,,,,1.2,,1,,,1,,0.9,,1,,0.7,,
Italy,,,,,,,,,,,,,,,,,,,0.5,1.7,,0.2,,0.2,,1.9,,1,,,2.2,,1.7,,,1.1,0.9,1,0.9,1.1,1,1.3,1.6,1.5,1.8,2,1.7,2.5,2.2,1.8,
Jamaica,,,,,,,,,,,,,,,,,,,,,20.2,,20.4,,,30.8,,,14.1,,,9.9,,,11.3,,8.9,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,2.6,,,,,,16.7,,,,,13.4,,,,,8.6,,,,3.9,,2.8,,2,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.2,,,0.9,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,,,29.4,24.9,19.9,14,21.7,4.8,2.3,1.7,2,1.5,0.6,0.4,0.2,0.2,0.3,0.6,0.3,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,54.4,,60.9,,,59.8,,,,,,,,69.6,,,,,,,,,,66.5,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5,,72.8,68.6,67,64.1,41.2,46.5,34.2,30.9,20.1,16,19,16.5,17.1,21.3,14.9,18.4,14.1,14.7,10.9
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,0.7,,0.5,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,,20,19.4,,,15.9,16,11.1,6.4,3.9,5.6,3.5,4.1,3.6,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,67.4,,,,,81.8,,,,,70.7,,,,,64,,,,,56.8,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.3,,,,,,,76.4,,75.6,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2,,,,,,,,,,,,,,,,,,,,,10.2,,
Sri Lanka,,,,,,,,,,,,,,,,,,46.8,,,,,44.5,,,,,42.7,,,,,,,37.3,,,,24.6,,,19.4,,,16.9,,,,10.8,,
Lesotho,,,,,,,,,,,,,,,,,,,69.4,,,,,,,,64.6,,,,,,,,80.4,,,,,,,,,,,,,,,50.3,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4.3,2.8,1.9,2.3,4.3,3.1,1.5,2,2,2.7,1.4,2.2,1.5,
Luxembourg,,,,,,,,,,,,,,,,,,0.2,,,,,,0,,,0,,,0,,,0,,,0.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.2,0.4,0.1,0.4,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,4.8,2.6,1.6,2.4,3.6,3.6,2.9,2.6,2.4,1.8,1.6,1.4,1.5,
Morocco,,,,,,,,,,,,,,,,,31.9,,,,,,18.6,,,,,,,,27.4,,26.7,,,,,,16.2,,,,,,,7.3,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,56.5,69,68.1,59.1,43.5,31.6,32,39.8,12.2,7.7,9,7.9,6,4.1,3.1,2.1,1.1,1.3,1.2,1,0.9
Madagascar,,,,,,,,,,,,,71.1,,,,,,,,,,,,,88.6,,,,87.2,,86.2,,84.6,,,,89.2,,,,,91.2,,90.9,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,,,,,,,16.6,,,,,,,0.2,,
Mexico,,,,,,,,,,,,,,,,,,,,,,19,,,23,,23.5,,38.9,,30.8,,21,,18.8,,15.8,16,13,,14.4,,12.6,,12.1,,11.8,,7.8,,6.5
