,Origin,Dest,Month,Prediction,lower,upper,origin_lon,origin_lat,dest_lon,dest_lat,dest_p_no_outbreak,risk_ij,risk_i,dest_municipality,dest_name,dest_region,dest_continent
20110,IND,DCA,10,10248,9979,10524.0,-86.27,39.73,-77.04,38.85,1.0,0.0,0.017192462299885136,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20111,JFK,DCA,10,16540,15978,17122.0,-73.79,40.64,-77.04,38.85,1.0,0.0,0.2472619383003961,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20112,LAS,DCA,10,3505,3393,3620.0,-115.15,36.09,-77.04,38.85,1.0,0.0,0.08547382053125196,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20113,LAX,DCA,10,4519,4380,4663.0,-118.41,33.94,-77.04,38.85,1.0,0.0,0.2766725756447104,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20114,LEX,DCA,10,989,948,1031.0,-84.6,38.04,-77.04,38.85,1.0,0.0,0.001780161747543696,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20115,LGA,DCA,10,67953,65581,70412.0,-73.87,40.77,-77.04,38.85,1.0,0.0,0.0240383969017387,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20116,MCI,DCA,10,8829,8618,9046.0,-94.72,39.29,-77.04,38.85,1.0,0.0,0.02197909652509078,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20117,MCO,DCA,10,21430,20856,22020.0,-81.31,28.43,-77.04,38.85,1.0,0.0,0.12410038514803401,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20118,MEM,DCA,10,10647,10283,11023.0,-89.98,35.04,-77.04,38.85,1.0,0.0,0.01598150278853938,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20119,MHT,DCA,10,5498,5334,5667.0,-71.44,42.93,-77.04,38.85,1.0,0.0,0.007931856590190023,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20120,MIA,DCA,10,36922,35585,38310.0,-80.28,25.8,-77.04,38.85,1.0,0.0,0.1861392334719877,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20121,MKE,DCA,10,6877,6661,7101.0,-87.9,42.95,-77.04,38.85,1.0,0.0,0.012110726508125058,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20122,MSN,DCA,10,1023,986,1061.0,-89.35,43.14,-77.04,38.85,1.0,0.0,0.0032281681682889696,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20123,MSP,DCA,10,22857,22307,23421.0,-93.21,44.88,-77.04,38.85,1.0,0.0,0.07132543471919928,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20124,MSY,DCA,10,8385,8121,8658.0,-90.26,29.98,-77.04,38.85,1.0,0.0,0.021565564223851696,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20125,DAY,DCA,10,4414,4280,4553.0,-84.22,39.9,-77.04,38.85,1.0,0.0,0.005521492625992996,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20126,CLT,DCA,10,28617,28052,29194.0,-80.94,35.22,-77.04,38.85,1.0,0.0,0.08545084495508937,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20127,ATL,DAY,10,19836,19154,20543.0,-84.44,33.64,-84.22,39.9,1.0,0.0,0.19295304173114924,Dayton,James M Cox Dayton International Airport,US-OH,NA
20128,CLE,DCA,10,5569,5396,5749.0,-81.84,41.41,-77.04,38.85,1.0,0.0,0.03522735257666332,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20129,BOS,DAY,10,46,42,49.0,-71.02,42.37,-84.22,39.9,1.0,0.0,0.13991135446218705,Dayton,James M Cox Dayton International Airport,US-OH,NA
20130,BUF,DAY,10,121,102,144.0,-78.73,42.93,-84.22,39.9,1.0,0.0,0.034012520115722755,Dayton,James M Cox Dayton International Airport,US-OH,NA
20131,CLE,DAY,10,3688,3534,3849.0,-81.84,41.41,-84.22,39.9,1.0,0.0,0.03522735257666332,Dayton,James M Cox Dayton International Airport,US-OH,NA
20132,CLT,DAY,10,8286,8071,8508.0,-80.94,35.22,-84.22,39.9,1.0,0.0,0.08545084495508937,Dayton,James M Cox Dayton International Airport,US-OH,NA
20133,DCA,DAY,10,4413,4288,4543.0,-77.04,38.85,-84.22,39.9,1.0,0.0,0.07140724008730848,Dayton,James M Cox Dayton International Airport,US-OH,NA
20134,DEN,DAY,10,8252,7944,8571.0,-104.67,39.85,-84.22,39.9,1.0,0.0,0.0746648951082095,Dayton,James M Cox Dayton International Airport,US-OH,NA
20135,DFW,DAY,10,8449,8172,8736.0,-97.04,32.9,-84.22,39.9,1.0,0.0,0.13127883790981232,Dayton,James M Cox Dayton International Airport,US-OH,NA
20136,DTW,DAY,10,4820,4642,5005.0,-83.36,42.21,-84.22,39.9,1.0,0.0,0.09255956941629317,Dayton,James M Cox Dayton International Airport,US-OH,NA
20137,EWR,DAY,10,3137,2927,3361.0,-74.18,40.69,-84.22,39.9,1.0,0.0,0.09213670987637756,Dayton,James M Cox Dayton International Airport,US-OH,NA
20138,IAD,DAY,10,5058,4900,5221.0,-77.45,38.95,-84.22,39.9,1.0,0.0,0.10703267692035845,Dayton,James M Cox Dayton International Airport,US-OH,NA
20139,IAH,DAY,10,2822,2721,2927.0,-95.34,29.98,-84.22,39.9,1.0,0.0,0.1233751909090608,Dayton,James M Cox Dayton International Airport,US-OH,NA
20140,LGA,DAY,10,2927,2808,3052.0,-73.87,40.77,-84.22,39.9,1.0,0.0,0.0240383969017387,Dayton,James M Cox Dayton International Airport,US-OH,NA
20141,MCI,DAY,10,86,79,94.0,-94.72,39.29,-84.22,39.9,1.0,0.0,0.02197909652509078,Dayton,James M Cox Dayton International Airport,US-OH,NA
20142,MKE,DAY,10,1344,1286,1404.0,-87.9,42.95,-84.22,39.9,1.0,0.0,0.012110726508125058,Dayton,James M Cox Dayton International Airport,US-OH,NA
20143,MSP,DAY,10,2502,2419,2588.0,-93.21,44.88,-84.22,39.9,1.0,0.0,0.07132543471919928,Dayton,James M Cox Dayton International Airport,US-OH,NA
20144,ORD,DAY,10,13224,12772,13690.0,-87.99,41.98,-84.22,39.9,1.0,0.0,0.24052309468401256,Dayton,James M Cox Dayton International Airport,US-OH,NA
20145,PHL,DAY,10,4302,4086,4529.0,-75.24,39.88,-84.22,39.9,1.0,0.0,0.04887081854377717,Dayton,James M Cox Dayton International Airport,US-OH,NA
20146,PIT,DAY,10,41,36,46.0,-80.26,40.5,-84.22,39.9,1.0,0.0,0.028565823806419033,Dayton,James M Cox Dayton International Airport,US-OH,NA
20147,SYR,DAY,10,88,76,102.0,-76.11,43.11,-84.22,39.9,1.0,0.0,0.017520328713899747,Dayton,James M Cox Dayton International Airport,US-OH,NA
20148,YYZ,DAY,10,687,658,718.0,-79.61,43.68,-84.22,39.9,1.0,0.0,0.13438322406067327,Dayton,James M Cox Dayton International Airport,US-OH,NA
20149,ATL,DCA,10,64383,62836,65969.0,-84.44,33.64,-77.04,38.85,1.0,0.0,0.19295304173114924,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20150,BDL,DCA,10,10183,9831,10548.0,-72.68,41.93,-77.04,38.85,1.0,0.0,0.007238786484098925,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20151,BNA,DCA,10,8317,8130,8508.0,-86.67,36.13,-77.04,38.85,1.0,0.0,0.018821012631649148,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20152,BOS,DCA,10,61341,59918,62798.0,-71.02,42.37,-77.04,38.85,1.0,0.0,0.13991135446218705,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20153,BUF,DCA,10,4775,4629,4925.0,-78.73,42.93,-77.04,38.85,1.0,0.0,0.034012520115722755,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20154,BWI,DCA,10,25,19,35.0,-76.67,39.18,-77.04,38.85,1.0,0.0,0.026775340158481487,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20155,CAE,DCA,10,3287,3157,3421.0,-81.13,33.95,-77.04,38.85,1.0,0.0,0.0011719181605328588,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20156,CAK,DCA,10,1144,1091,1199.0,-81.44,40.91,-77.04,38.85,1.0,0.0,0.0005215650138581385,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20157,CHA,DCA,10,1174,1114,1237.0,-85.2,35.04,-77.04,38.85,1.0,0.0,0.0003257618742508184,Washington,Ronald Reagan Washington National Airport,US-DC,NA
20158,YYZ,DEN,10,10548,10054,11066.0,-79.61,43.68,-104.67,39.85,1.0,0.0,0.13438322406067327,Denver,Denver International Airport,US-CO,NA
20159,ABQ,DFW,10,28344,27171,29568.0,-106.62,35.05,-97.04,32.9,1.0,0.0,0.003760986809436484,Dallas-Fort Worth,Dallas Fort Worth International Airport,US-TX,NA
20160,BBU,CRL,10,2499,2308,2705.0,26.08,44.5,4.45,50.46,1.0,0.0,0.008040658951937396,Brussels,Brussels South Charleroi Airport,BE-WHT,EU
20161,TUL,DTW,10,3765,3612,3924.0,-95.89,36.19,-83.36,42.21,1.0,0.0,0.002683123566948331,Detroit,Detroit Metropolitan Wayne County Airport,US-MI,NA
