country,1966,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United Kingdom,,5,,,,,1,,,,,1.2,,,,,,,2.2,,,,,1.2,,,1,2,,,,1,,,,,1.2,1.2,0.8,0.8,1,0.6,0.7,0.7,0.6,0.4,0.6,0.7,0.5,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,64.5,64.3,71.8,73.5,76.1,62.8,62.4,58.8,61.3,62.2,64.5,60,59.9,60.8,59,54.9,49.5,45.7,44.8,43.3,43,42.5
Ghana,,,,,,,,,,,,,,,,,,,,93.8,92.6,,,93,,,,,,,85,,,,,,,76.7,,,,,,,59.8,,,,56.3,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,100,,,89.4,,,,,,,,95,,,,,94.9,,,,,92.5,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.2,,,,,87.3,,,,,,,80.7,,,,,72.7,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,95.8,,,,,,,,,96.1,,,,,,,,93.8,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,2.5,,,1.6,1.7,1.6,1.9,1.7,1.2,1.5,2.4,4.8,6.3,7.1,7.1,7,5.6,4.7,
Guatemala,,,,,,,,,,,,,,,,,,,85,,,72.9,,,,,,,,,50.1,,45.1,,,,,,43.7,,,,,,,,49.1,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,81.4,,,,,,50.1,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,80.1,82.1,78.9,75.8,69.2,69.1,70.2,72.5,64.5,64.3,65.6,,55.8,61,64.4,63.9,61.4,55.9,53.5,50.7,47.6,50.6,53.2,57.8,56,54.9,54.7,53.6,53.6,50.9
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.8,6.9,6.8,6.7,5.8,5,4.1,3.6,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.5,1.9,1.8,1.5,1.4,2.5,2.8,4.3,4.3,3.1,2.7,2.6,3,
Indonesia,,,,,,,,,,,,,,,,,97.9,,,98.1,,,96.3,,,96.1,,,93.3,,97.6,94.7,95.1,94,88.6,87,87,85.9,87.9,83,83.2,81.9,75.5,72.2,71.4,68.7,66.6,64.3,59.7,55.8,53.2
India,,,,,,,,,,97.1,,,,,,96.6,,,,95.7,,,,,,95.5,,,,,,,,,,,92.9,,,,,91.1,,87.4,,,,,,,
